N,Swap Sort,Insertion Sort,Selection Sort,Cocktail Shaker Sort,Merge Sort Classic,Merge Sort Opt(10),Merge Sort Opt(50),Quick Sort (Last),Quick Sort (Random),Quick Sort (Median)
1,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
264,0.000315,0.000088,0.000141,0.000261,0.000035,0.000020,0.000023,0.000023,0.000037,0.000023
527,0.001082,0.000234,0.000345,0.000609,0.000047,0.000037,0.000031,0.000034,0.000052,0.000029
790,0.001621,0.000512,0.000732,0.001510,0.000092,0.000047,0.000072,0.000050,0.000079,0.000050
1053,0.003049,0.000941,0.001297,0.002562,0.000100,0.000062,0.000069,0.000075,0.000111,0.000062
1316,0.004373,0.001412,0.002013,0.003867,0.000131,0.000083,0.000096,0.000106,0.000143,0.000091
1579,0.006309,0.002048,0.003004,0.005723,0.000171,0.000106,0.000127,0.000122,0.000181,0.000132
1842,0.008538,0.002842,0.004119,0.007607,0.000235,0.000136,0.000140,0.000189,0.000211,0.000158
2105,0.011175,0.004041,0.005155,0.010110,0.000278,0.000190,0.000197,0.000208,0.000250,0.000240
2368,0.014162,0.004624,0.006409,0.012696,0.000333,0.000224,0.000227,0.000245,0.000281,0.000257
2632,0.017455,0.005655,0.008126,0.015886,0.000381,0.000282,0.000262,0.000315,0.000345,0.000291
2895,0.022190,0.006913,0.009573,0.019079,0.000415,0.000321,0.000303,0.000297,0.000348,0.000306
3158,0.025565,0.008460,0.011475,0.022522,0.000467,0.000398,0.000361,0.000375,0.000394,0.000371
3421,0.029893,0.009909,0.014445,0.026626,0.000542,0.000419,0.000388,0.000393,0.000432,0.000392
3684,0.033969,0.011040,0.015356,0.030583,0.000566,0.000430,0.000428,0.000409,0.000452,0.000434
3947,0.039793,0.012996,0.018107,0.035423,0.000619,0.000465,0.000451,0.000445,0.000501,0.000476
4210,0.044351,0.014365,0.020722,0.041190,0.000686,0.000536,0.000504,0.000499,0.000546,0.000503
4473,0.050337,0.016314,0.023208,0.045182,0.000730,0.000539,0.000528,0.000500,0.000565,0.000526
4736,0.056937,0.018308,0.025300,0.050131,0.000766,0.000584,0.000577,0.000564,0.000619,0.000562
5000,0.063985,0.021226,0.029109,0.056583,0.000821,0.000624,0.000630,0.000610,0.000636,0.000604
