N,Swap Sort,Insertion Sort,Selection Sort,Cocktail Shaker Sort,Merge Sort Classic,Merge Sort Opt(16),Merge Sort Opt(50),Quick Sort (Last),Quick Sort (Random),Quick Sort (Median)
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001
1316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000084,0.000000,0.003773,0.000111,0.000125
2632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000165,0.000000,0.015060,0.000231,0.000278
3948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000273,0.000000,0.034283,0.000368,0.000447
5263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000355,0.000000,0.060149,0.000494,0.000622
6579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000466,0.000000,0.094449,0.000631,0.000805
7895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000586,0.000000,0.135418,0.000778,0.000990
9211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000658,0.000000,0.184678,0.000912,0.001170
10526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000765,0.000000,0.240706,0.001056,0.001376
11842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000883,0.000000,0.305669,0.001192,0.001573
13158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000996,0.000000,0.378026,0.001343,0.001772
14474,0.000000,0.000000,0.000000,0.000000,0.000000,0.001127,0.000000,0.457350,0.001492,0.001961
15789,0.000000,0.000000,0.000000,0.000000,0.000000,0.001248,0.000000,0.544355,0.001652,0.002167
17105,0.000000,0.000000,0.000000,0.000000,0.000000,0.001323,0.000000,0.637891,0.001788,0.002369
18421,0.000000,0.000000,0.000000,0.000000,0.000000,0.001397,0.000000,0.741315,0.001945,0.002605
19737,0.000000,0.000000,0.000000,0.000000,0.000000,0.001526,0.000000,0.850346,0.002104,0.002794
21052,0.000000,0.000000,0.000000,0.000000,0.000000,0.001652,0.000000,0.967624,0.002244,0.003002
22368,0.000000,0.000000,0.000000,0.000000,0.000000,0.001781,0.000000,1.092432,0.002382,0.003217
23684,0.000000,0.000000,0.000000,0.000000,0.000000,0.001889,0.000000,1.225997,0.002572,0.003427
25000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001997,0.000000,1.364674,0.002690,0.003654
