N,Swap Sort,Insertion Sort,Selection Sort,Cocktail Shaker Sort,Merge Sort Classic,Merge Sort Opt(16),Merge Sort Opt(50),Quick Sort (Last),Quick Sort (Random),Quick Sort (Median)
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001
1316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000078,0.000000,0.000091,0.000142,0.000083
2632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,0.000000,0.000267,0.000306,0.000256
3948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000426,0.000000,0.000440,0.000479,0.000428
5263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000616,0.000000,0.000634,0.000665,0.000621
6579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000786,0.000000,0.000778,0.000845,0.000799
7895,0.000000,0.000000,0.000000,0.000000,0.000000,0.001006,0.000000,0.001058,0.001044,0.000975
9211,0.000000,0.000000,0.000000,0.000000,0.000000,0.001197,0.000000,0.001228,0.001230,0.001162
10526,0.000000,0.000000,0.000000,0.000000,0.000000,0.001375,0.000000,0.001394,0.001414,0.001338
11842,0.000000,0.000000,0.000000,0.000000,0.000000,0.001551,0.000000,0.001542,0.001621,0.001508
13158,0.000000,0.000000,0.000000,0.000000,0.000000,0.001750,0.000000,0.001772,0.001812,0.001726
14474,0.000000,0.000000,0.000000,0.000000,0.000000,0.001940,0.000000,0.001892,0.002010,0.001939
15789,0.000000,0.000000,0.000000,0.000000,0.000000,0.002123,0.000000,0.002138,0.002212,0.002137
17105,0.000000,0.000000,0.000000,0.000000,0.000000,0.002382,0.000000,0.002316,0.002423,0.002281
18421,0.000000,0.000000,0.000000,0.000000,0.000000,0.002604,0.000000,0.002441,0.002614,0.002474
19737,0.000000,0.000000,0.000000,0.000000,0.000000,0.002792,0.000000,0.002820,0.002843,0.002793
21052,0.000000,0.000000,0.000000,0.000000,0.000000,0.002999,0.000000,0.002877,0.003055,0.002971
22368,0.000000,0.000000,0.000000,0.000000,0.000000,0.003183,0.000000,0.003292,0.003269,0.003127
23684,0.000000,0.000000,0.000000,0.000000,0.000000,0.003422,0.000000,0.003291,0.003532,0.003351
25000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003565,0.000000,0.003602,0.003663,0.003578
