25000
ID NAME TEAM SCORE COMPETITIONS POTATOE
22482 lyUn Beta 0.7 56 false
13190 gNM Epsilon 5.4 248 false
17475 GkPT Pi 4.4 218 false
6307 qdixH Beta 6.4 18 false
14366 RrkgPO Theta 3.6 136 true
503 AUmXB Delta 3.8 184 false
11775 EdQgEGcSIO Gamma 1.3 74 false
17128 NzaWsX Beta 7.1 69 true
10410 rfEA Lambda 8.9 120 false
8050 PyMOoY Alpha 1.2 175 false
20869 dWxPy Gamma 9.0 157 false
8127 SgPzo Delta 1.2 2 true
8535 FwcVy Alpha 8.5 35 true
18775 SQteHX Alpha 1.0 45 true
11849 EDVOX Alpha 1.7 179 false
10290 NebBcKm Pi 7.9 47 false
18685 TSxiFLi Beta 9.5 169 true
5637 PqKufGS Epsilon 5.4 174 true
12367 xYK Beta 4.4 81 true
9674 OXgboQyZc Pi 1.4 199 true
22592 TBq Alpha 5.9 107 false
19323 gTVGUYO Epsilon 0.5 169 false
12068 jOdV Theta 1.8 108 true
5225 mZRVfG Beta 0.2 145 false
14072 xfnFOt Beta 0.5 27 false
21947 JJNY Pi 0.6 168 true
6505 XFFicwkJD Theta 9.6 57 true
5113 QAKYIS Tau 0.5 2 true
16462 WeZ Beta 1.2 79 true
11557 VyEAjtFZEy Alpha 9.2 218 false
5328 iAr Beta 3.2 106 true
4279 BqvaEe Gamma 6.7 175 true
15772 yDiCIzHB Lambda 9.8 53 true
22885 qyjUEkXHd Alpha 3.9 119 false
4686 odfWvv Beta 1.5 174 true
13055 ycgP Pi 5.5 227 false
6818 pmjvMeE Alpha 3.1 64 false
22914 qHgw Gamma 1.8 205 true
9427 LFWo Lambda 2.2 0 true
12591 VInv Beta 1.6 88 true
16337 FlHJtGvkW Epsilon 8.6 129 false
15477 gsuwJW Lambda 8.6 162 true
17443 EjZWokaec Theta 4.1 217 true
20071 tLaKRyuiY Alpha 1.5 133 true
12128 MKiGyVr Lambda 2.3 192 true
14074 IeZc Tau 6.6 175 true
16781 rskpPo Theta 6.9 191 false
3352 iIjzuOHNi Gamma 3.2 216 true
2955 sRzfd Lambda 6.8 199 false
15784 nTj Lambda 7.2 245 true
16749 XFUHXB Alpha 0.1 12 false
16727 dZytIT Theta 4.4 134 false
20103 lmKA Delta 6.2 148 false
5875 eRwJNwD Delta 1.7 184 true
15895 weNCHvml Tau 0.6 38 true
5885 cPlcCF Beta 8.2 53 true
8645 WDMCmiDFzA Delta 6.0 195 true
5994 nbh Lambda 6.0 227 false
12234 TderN Delta 0.1 155 true
14091 UOnZ Gamma 6.5 75 true
23338 SSF Beta 6.4 232 false
6830 AGjl Tau 6.6 85 false
10068 jGY Pi 7.6 99 true
4504 EDcnZDBE Tau 7.0 56 true
21445 IdeWSnY Beta 9.3 230 true
2796 FCEe Lambda 8.7 76 false
12284 VbvhKNx Epsilon 4.4 78 false
14551 bzAfLAdNv Tau 5.5 237 true
2619 otIVb Lambda 9.8 41 false
9293 dKT Gamma 1.6 204 true
3557 HuHhvk Theta 0.5 69 false
5828 rjm Delta 2.3 82 false
194 KmgHNwzMF Tau 2.3 67 false
12688 cYMSOLVc Epsilon 5.2 146 true
7144 kNg Alpha 4.2 82 true
11124 LYY Lambda 6.7 228 false
23221 WvlZYZw Theta 9.8 72 false
8135 WLAOJqCx Lambda 0.3 61 false
17788 jaMRnYMRt Epsilon 9.9 127 true
8293 RIeBye Delta 3.4 7 true
17491 XpZElNqvhv Pi 4.0 126 true
2772 KWIrZTJOSq Tau 6.6 227 true
9699 xriLS Beta 4.6 170 false
16521 nkwvb Gamma 5.5 247 true
12612 vTxDn Delta 8.6 161 false
16371 UCS Delta 0.7 210 false
1005 kXk Lambda 8.7 33 false
24005 JKmnZ Lambda 2.4 167 true
7784 bcZyS Theta 1.8 15 true
15098 HnSZ Gamma 2.6 247 false
9747 ZBEIctdzwx Delta 0.5 149 false
9512 ByL Beta 3.8 71 true
2307 sRzlBKT Beta 3.7 242 false
19071 NIwSDMjMO Gamma 8.2 183 true
2076 IQRBYIjD Theta 9.8 199 true
1683 dSM Lambda 5.5 190 true
11719 GDV Pi 7.8 46 false
2964 Lfe Tau 1.1 175 true
4282 EaK Tau 7.2 180 true
7068 ZTjKysm Gamma 0.6 194 false
24990 lVED Pi 0.5 219 false
