25000
ID NAME TEAM SCORE COMPETITIONS POTATOE
25000 FmFJi Lambda 8.1 33 true
24999 PelMBxVeaN Epsilon 8.5 3 false
24998 GdkGavJQEC Beta 1.5 83 false
24997 EaNaisBaVu Pi 7.4 120 false
24996 AZKE Pi 5.1 241 true
24995 BnE Pi 8.4 116 false
24994 EVj Delta 2.7 134 true
24993 fpKQ Pi 7.0 156 false
24992 icI Theta 1.8 204 true
24991 dqhogedZT Lambda 6.2 80 false
24990 JQxeLlu Pi 5.3 58 false
24989 zioGbi Lambda 6.1 175 false
24988 GdN Lambda 8.2 213 false
24987 vWyXdYjohY Epsilon 2.5 133 true
24986 aLmntIv Gamma 6.2 30 true
24985 oFuBvAwCgn Theta 9.6 102 true
24984 gNnaUmF Theta 4.1 77 false
24983 CDdMgpt Theta 0.9 249 true
24982 XFHW Lambda 8.1 134 false
24981 BPAdfFLrM Lambda 8.4 75 true
24980 GljmoFlkY Theta 7.9 171 true
24979 BKE Epsilon 5.0 111 false
24978 zkXh Beta 2.3 52 true
24977 MRjGhEakKW Lambda 2.9 222 true
24976 dpignwEmwr Theta 8.9 19 false
24975 HFF Epsilon 5.1 139 true
24974 XYIdF Lambda 9.0 221 true
24973 crcGVITmHK Lambda 0.2 245 true
24972 bOxjmtDX Alpha 3.9 142 false
24971 tllj Alpha 7.5 1 true
24970 dcNLohQA Gamma 5.9 60 true
24969 FyqiBQpH Lambda 8.0 96 false
24968 aUv Theta 9.2 46 true
24967 akqfoq Beta 2.3 150 true
24966 pdslTGr Beta 0.3 110 false
24965 uDZAae Pi 4.8 77 false
24964 kVmhgyXA Beta 1.9 24 false
24963 PaxWxcrKn Theta 6.2 192 false
24962 mfuao Delta 8.9 99 true
24961 cGuwO Alpha 0.5 175 true
24960 rotpcxOBwC Delta 1.4 222 false
24959 CMbvCOCQpF Delta 9.5 228 false
24958 oeF Lambda 4.6 197 true
24957 YkxgfmWC Alpha 2.5 179 false
24956 wnvfkS Gamma 7.0 202 false
24955 oqX Theta 2.1 249 false
24954 cvUhsPa Beta 4.5 248 true
24953 oMFCL Lambda 4.4 163 true
24952 vWKdBTcqDH Beta 0.5 90 true
24951 xnqPHkiC Beta 7.9 36 false
24950 pBfli Theta 0.5 192 true
24949 AeReHftKYU Delta 5.6 85 true
24948 egxMjJ Delta 8.4 12 true
24947 ZsLn Delta 6.0 215 true
24946 hwcmUQocrc Beta 1.7 30 false
24945 uhbQBgx Gamma 3.6 185 false
24944 esba Tau 2.5 192 false
24943 CsAXpPR Tau 4.3 193 false
24942 vKureaE Alpha 3.0 16 true
24941 BAzRJCL Theta 3.5 239 false
24940 ein Gamma 6.3 69 true
24939 jmYCGYzm Lambda 3.7 233 false
24938 RBhSPGAUaM Pi 7.2 66 true
24937 bpXApnQQi Delta 2.7 120 false
24936 NaPrpGtL Beta 9.6 115 true
24935 Vtz Theta 2.5 47 false
24934 HkLxoHLxak Pi 4.0 49 false
24933 fITCKIH Theta 3.4 201 true
24932 oOB Pi 6.6 83 true
24931 DxbOSYfhh Theta 0.5 67 false
24930 dyCqIufk Gamma 4.5 128 false
24929 aRpwLnumjX Tau 3.8 80 false
24928 kOD Gamma 8.6 41 false
24927 iQVWLND Delta 4.8 1 true
24926 bbiLt Alpha 1.6 71 false
24925 mHMbb Pi 0.2 179 false
24924 gYxTdp Pi 0.4 44 true
24923 CfUIJlvt Alpha 9.5 230 false
24922 Ketyg Theta 2.1 192 false
24921 ePdjf Alpha 8.3 47 true
24920 unfztu Epsilon 5.4 211 false
24919 tCFZt Tau 2.1 64 false
24918 ZGXjFIYz Delta 1.4 11 false
24917 LzxIfSg Pi 0.3 156 false
24916 botSTTkp Delta 6.9 201 false
24915 aXcKLd Beta 6.7 145 false
24914 BcZ Theta 7.5 89 true
24913 NhxXn Pi 9.2 233 false
24912 jBwM Tau 7.0 190 true
24911 dAjlMjb Tau 1.8 237 true
24910 sirsM Gamma 1.3 120 true
24909 KqXOgPI Beta 9.5 150 false
24908 pOqIdgoWU Theta 2.5 46 false
24907 pXk Lambda 1.9 44 false
24906 GDwYq Gamma 0.7 235 true
24905 joEbMXi Pi 5.3 116 false
24904 zdF Lambda 4.4 103 true
24903 UEXBu Beta 8.3 211 false
24902 FqCALJay Alpha 7.4 86 false
24901 aJzHmpnh Theta 6.4 108 true
24900 kNwYVfxZOt Lambda 0.2 142 false
24899 puvZp Gamma 6.1 230 true
24898 YTfsINs Tau 7.7 192 true
24897 hZi Gamma 5.8 238 false
24896 BMf Epsilon 2.4 188 true
24895 wHDObR Gamma 6.7 143 true
24894 IaiyIQ Beta 0.5 74 false
24893 UaYejVdj Lambda 5.7 31 true
24892 ZsmAnzQ Tau 7.3 125 false
24891 phnHJm Lambda 3.1 211 true
24890 eJWH Theta 2.5 200 false
24889 YazIIXAGp Pi 3.0 149 true
24888 uVxkhUBa Gamma 1.3 102 false
24887 ckkrXqVqDH Delta 6.9 48 false
24886 tZX Epsilon 4.1 9 true
24885 koOlr Lambda 4.1 103 true
24884 Szo Pi 9.8 124 false
24883 XFmwOdYtDS Lambda 8.6 137 false
24882 RMndiclIXF Pi 6.0 122 true
24881 fdZzpGI Tau 0.3 219 true
24880 fgOUukTifg Epsilon 9.3 233 false
24879 uVf Beta 5.2 175 true
24878 HXZYFx Delta 5.5 96 true
24877 eVyarBha Pi 7.7 221 true
24876 zFdia Gamma 9.3 46 false
24875 ynnmTXou Lambda 5.6 192 true
24874 ZPvU Gamma 0.2 181 false
24873 eIEzWVfLI Theta 4.9 156 true
24872 uhWn Epsilon 8.9 150 true
24871 jvxNXv Alpha 4.5 71 false
24870 sjKjUC Alpha 4.9 207 false
24869 sNbRJKADQ Lambda 0.6 239 false
24868 ZrKFRa Tau 10.0 12 true
24867 IeFTfdHTRy Theta 9.9 74 true
24866 gRkQG Theta 9.3 39 true
24865 iMRYwmqP Delta 6.5 149 false
24864 yidsBGYzQz Lambda 1.1 90 false
24863 igFQszTnK Pi 0.4 149 true
24862 FfhWGT Lambda 3.2 99 false
24861 yroBjcViU Beta 4.3 223 true
24860 tMJs Gamma 5.9 37 false
24859 SabgZB Pi 0.7 109 true
24858 uPCbO Alpha 9.0 100 true
24857 haIwWKyNw Tau 6.9 143 false
24856 PJwMUUlAQ Pi 8.3 162 false
24855 Xbhxv Delta 2.9 163 true
24854 OhAJ Delta 5.5 155 false
24853 AWKdGFGG Tau 5.1 150 false
24852 drEltnnevQ Epsilon 9.7 192 false
24851 cJY Lambda 9.6 41 true
24850 tyMmOdBlb Delta 2.2 3 true
24849 lHZ Tau 8.1 43 true
24848 xcJYX Pi 3.3 37 true
24847 hIqMCJElJy Pi 2.6 34 true
24846 IAyVF Pi 7.7 168 true
24845 PQBN Delta 9.3 238 false
24844 inTf Lambda 6.4 243 true
24843 wyLopE Alpha 9.4 175 true
24842 VFiKwf Theta 1.0 42 false
24841 kmKxm Epsilon 6.5 219 true
