25000
ID NAME TEAM SCORE COMPETITIONS POTATOE
1 UHKvxXWARu Pi 9.0 61 false
2 rJn Pi 6.9 50 true
3 hhjHMWc Beta 3.3 191 true
4 wGlYOAc Pi 9.2 72 false
5 oaxDGIflR Tau 5.5 12 false
6 tPtbpMv Gamma 1.1 146 true
7 cMlXU Tau 3.8 119 false
8 LcXKvAGVD Theta 4.7 176 true
9 cOrZRxMsoY Tau 8.8 138 false
10 GsnOyMX Epsilon 1.5 59 false
11 VXZdSixmdw Alpha 2.7 148 false
12 tGHxeHlTA Gamma 8.5 137 false
13 ARDD Lambda 1.1 76 false
14 PxfV Gamma 7.4 36 true
15 AGHuGczUA Alpha 5.0 168 false
16 oAhKAU Alpha 9.8 64 true
17 JxJrEj Gamma 8.9 148 false
18 OqYxe Delta 4.5 170 true
19 qHclPX Alpha 0.3 208 false
20 mQNfRiQss Epsilon 0.7 143 true
21 ejiyzqItzM Pi 1.6 207 true
22 OHcc Theta 5.1 249 false
23 Uod Delta 7.9 154 true
24 oNmyWa Epsilon 9.3 83 true
25 DycMn Lambda 6.6 229 true
26 spx Theta 8.4 23 true
27 TCvI Epsilon 6.4 134 false
28 AyAwUBfMB Gamma 5.5 221 true
29 qmPS Delta 7.8 147 false
30 lQFAfos Alpha 7.7 122 true
31 MOf Gamma 5.4 121 false
32 yppkHC Gamma 4.7 58 false
33 wmdlJ Epsilon 2.4 244 false
34 ADGH Delta 4.3 166 true
35 BBL Lambda 5.2 136 false
36 DxJFbBaY Epsilon 3.6 203 true
37 hNt Epsilon 2.2 155 true
38 gGC Alpha 4.8 158 false
39 aMhfmmHYT Epsilon 5.8 24 true
40 OFEvhfR Beta 8.2 123 false
41 TuTjzXUa Theta 4.5 110 false
42 RiELzTXs Epsilon 7.5 168 false
43 gSop Delta 6.5 48 true
44 EYSSYab Pi 2.0 128 false
45 hGYvCfto Beta 0.9 239 false
46 RJHoJtuMM Lambda 7.2 4 false
47 jgQ Lambda 1.0 124 true
48 ZTTbTEoiV Theta 4.4 81 false
49 KlWwR Theta 6.9 131 false
50 KgPL Gamma 5.3 144 true
51 UcO Lambda 8.5 89 true
52 voalmCR Theta 5.5 54 true
53 AeSTHwvC Alpha 8.1 109 false
54 gXixrgj Epsilon 3.5 99 true
55 CBRWOf Alpha 3.1 118 true
56 iOrfg Delta 4.6 5 true
57 NnEyWh Gamma 9.8 89 true
58 RcXMlQ Lambda 5.7 134 true
59 CiSKTsDnve Delta 5.6 82 true
60 ZIOZndo Delta 6.4 95 true
61 RrVTGqISD Gamma 3.2 63 false
62 hZG Lambda 7.9 50 true
63 deIfVoSN Tau 0.1 244 true
