N,Binaria Recursiva,Binaria Rango,Exponencial,Interpolacion
1,0.000001,0.000001,0.000001,0.000001
1316,0.000001,0.000001,0.000001,0.000001
2632,0.000001,0.000001,0.000001,0.000001
3948,0.000001,0.000001,0.000001,0.000001
5263,0.000001,0.000001,0.000001,0.000001
6579,0.000001,0.000001,0.000001,0.000001
7895,0.000001,0.000001,0.000001,0.000001
9211,0.000001,0.000001,0.000001,0.000001
10526,0.000001,0.000001,0.000001,0.000001
11842,0.000001,0.000001,0.000001,0.000001
13158,0.000001,0.000001,0.000001,0.000001
14474,0.000001,0.000001,0.000001,0.000001
15789,0.000001,0.000001,0.000001,0.000001
17105,0.000001,0.000001,0.000001,0.000001
18421,0.000001,0.000001,0.000001,0.000001
19737,0.000001,0.000001,0.000001,0.000001
21052,0.000001,0.000001,0.000001,0.000001
22368,0.000001,0.000001,0.000001,0.000001
23684,0.000001,0.000001,0.000001,0.000001
25000,0.000001,0.000001,0.000001,0.000001
