N,Swap Sort,Insertion Sort,Selection Sort,Cocktail Shaker Sort,Merge Sort Classic,Merge Sort Opt(16),Merge Sort Opt(50),Quick Sort (Last),Quick Sort (Random),Quick Sort (Median)
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001
1316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000064,0.000000,0.006133,0.000104,0.000077
2632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000131,0.000000,0.024494,0.000228,0.000162
3948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000192,0.000000,0.054676,0.000355,0.000251
5263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000295,0.000000,0.097560,0.000489,0.000349
6579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000359,0.000000,0.152081,0.000644,0.000460
7895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000424,0.000000,0.219495,0.000747,0.000527
9211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000567,0.000000,0.297956,0.000882,0.000630
10526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000628,0.000000,0.389292,0.001029,0.000743
11842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000708,0.000000,0.492727,0.001184,0.000876
13158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000783,0.000000,0.608321,0.001311,0.000959
14474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000859,0.000000,0.736845,0.001474,0.001053
15789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000930,0.000000,0.875026,0.001625,0.001118
17105,0.000000,0.000000,0.000000,0.000000,0.000000,0.001112,0.000000,1.028283,0.001731,0.001215
18421,0.000000,0.000000,0.000000,0.000000,0.000000,0.001195,0.000000,1.192664,0.001899,0.001343
19737,0.000000,0.000000,0.000000,0.000000,0.000000,0.001289,0.000000,1.371653,0.002011,0.001446
21052,0.000000,0.000000,0.000000,0.000000,0.000000,0.001375,0.000000,1.558900,0.002192,0.001587
22368,0.000000,0.000000,0.000000,0.000000,0.000000,0.001457,0.000000,1.759566,0.002358,0.001699
23684,0.000000,0.000000,0.000000,0.000000,0.000000,0.001537,0.000000,1.977622,0.002458,0.001823
25000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001637,0.000000,2.173704,0.002581,0.001914
